NPU,District,TOTAL POPULATION,2000 Pop,Pop Change,Sq Miles,POP SQ MILE,JOBS,Residential Permits,Commercial Building Permits,Single-Family,Total
A,NPU A,12506,11318,10.5,11.43,1094,6521,0,0,39,39
B,NPU B,48709,38562,26.3,10.18,4785,91833,44,4,72,120
C,NPU C,18226,16243,12.2,6.05,3013,6370,5,1,22,28
D,NPU D,11361,8576,32.5,6.49,1751,17068,30,3,27,60
E,NPU E,45375,34502,31.5,5.91,7678,99242,12,7,22,41
F,NPU F,25661,21378,20,6,4277,11200,21,3,55,79
G,NPU G,8266,11642,-29,5.62,1471,3675,32,3,1,36
H,NPU H,15452,17390,-11.1,6.39,2418,2424,0,0,0,0
I,NPU I,23650,21697,9,9.59,2466,3349,2,0,6,8
J,NPU J,10160,17009,-40.3,4.44,2288,3397,0,0,11,11
K,NPU K,9973,11923,-16.4,2.39,4173,2478,0,0,7,7
L,NPU L,6970,7314,-4.7,1.32,5280,1883,0,0,7,7
M,NPU M,30647,21343,43.6,3.78,8108,131381,46,6,19,71
N,NPU N,19039,14730,29.3,3.44,5535,6426,41,3,6,50
O,NPU O,14946,15269,2.1,3.89,3842,3910,38,1,91,130
P,NPU P,20528,13131,56.3,9.39,2186,4087,0,0,4,4
Q,NPU Q,2852,1748,63.2,1.67,1708,145,0,0,0,0
R,NPU R,18753,16623,12.8,5.39,3479,2550,0,0,0,0
S,NPU S,10775,12276,-12.2,3.88,2777,661,0,6,2,8
T,NPU T,17260,20095,-14.1,2.74,6299,4965,2,2,0,4
V,NPU V,15542,15840,-1.9,3.17,4903,3790,1,0,38,39
W,NPU W,21502,20197,7,3.52,6108,6790,3,2,52,57
X,NPU X,12777,14912,-14.3,4.36,2931,26031,4,1,10,15
Y,NPU Y,10369,12448,-16.7,3.29,3152,1762,0,0,10,10
Z,NPU Z,19840,24458,-18.2,10.48,1893,5450,0,0,9,9
